Id stazione: 100, località: weather one
49.5  235.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   29.410   15.850    0.000   93.000   37.120    0.673   18.328
   30.680   17.350    0.000   96.900   42.290    0.700   18.664
   31.500   19.730    1.400  100.000   48.240    0.833   16.323
   31.540   19.690    0.000   97.000   45.270    0.834   16.535
   30.440   20.450    1.990   94.000   45.980    0.764   15.646
   30.790   19.530    0.000  100.000   50.290    0.548   16.343
   27.770   19.380    1.930   95.140   51.030    0.876   10.316
   26.230   17.570    0.000   71.920   31.590    2.377   19.947
   30.780   13.390    0.000   92.640   27.350    0.844   21.756
   27.990   18.190    0.000   77.770   31.840    1.687   21.613
   25.550   16.230    0.000   73.600   30.510    1.159   19.165
   26.180   13.790    0.000   90.980   35.500    0.886   18.136
   27.740   15.620    0.000   86.560   32.560    0.927   17.236
   29.030   16.120    0.000   88.110   32.380    0.929   17.671
   27.270   14.640    0.000   71.700   20.170    0.747   23.185
   27.130   18.630    0.000   90.630   41.680    0.954   16.332
   26.550   18.190    0.000   91.710   42.550    0.903    8.704
   28.230   18.840    2.350   98.390   51.560    0.578   13.840
   28.920   17.970    0.000  100.000   51.280    0.556   16.613
   31.520   18.180    0.000   96.210   41.120    0.680   17.420
   34.970   19.380    0.000   96.040   37.760    0.588   15.330
   31.110   21.330    0.000   92.640   42.190    0.761   14.452
   32.600   19.270    0.000   93.000   36.540    0.588   14.961
   31.750   18.330    0.000   96.000   40.340    0.673    8.694
   31.530   19.790    0.000   86.470   32.740    0.698   14.511
   29.670   19.960    0.000   78.060   30.910    0.883   16.052
   29.460   19.410    0.000   85.130   33.900    0.702   14.923
   30.630   18.090    0.000   91.000   33.880    0.571   13.848
   29.900   18.240    0.000   91.000   35.360    0.554   13.755
   29.900   18.220    0.000   95.000   42.060    0.546   13.127
   30.650   18.730    2.590   97.000   43.780    0.889   11.767
   29.440   19.090    6.600  100.000   51.030    0.825   12.040
   27.760   18.800    2.550   97.000   51.240    0.697   12.989
   25.530   17.880    0.000   92.590   44.450    0.987   11.292
   26.600   16.460    0.000   85.660   33.480    1.051   12.814
   25.570   12.710    0.000   91.000   32.920    1.116   14.359
   25.080   11.770    0.000   93.630   35.790    0.631   14.055
   26.340   12.790    0.000   95.800   38.430    0.588   13.821
   25.670   14.380    0.000  100.000   51.170    0.673    9.867
   25.230   13.790    2.740  100.000   50.400    0.868    7.793
   23.210   13.420   21.690  100.000   55.220    1.352    2.517
   23.250   12.020    0.000  100.000   48.760    0.660   12.106
   23.550   10.780    0.000  100.000   45.430    0.588   14.587
   23.250   13.380    0.000  100.000   51.890    0.741    7.149
   23.380    9.900    7.430  100.000   43.170    0.682   14.943
   21.860   13.390    0.000  100.000   59.550    0.872   10.067
   22.120   10.450    0.000  100.000   48.160    0.621   12.043
   21.270   10.130    0.000  100.000   47.190    0.629   12.142
   20.390    9.610    0.000   97.000   42.350    0.533   11.972
   18.700    9.300    0.000  100.000   49.460    0.599   10.750
   19.310   10.170    0.000  100.000   47.330    0.711   10.090
   19.640   10.510    1.550   95.000   42.570    0.959   11.289
   25.610   11.500    0.000   96.890   35.040    0.899   10.115
   20.990    9.850    0.000   83.350   21.820    1.198   10.637
   17.340    8.700    0.000   84.720   26.920    0.907   11.226
   17.630    6.540    0.000   91.970   27.810    1.058   10.811
   18.030    3.670    0.000  100.000   34.700    0.585    6.891
   24.300   10.010    0.000   96.000   32.870    0.855    9.583
   22.220    8.620    0.000  100.000   40.710    0.504    9.639
   24.210   11.330    0.000  100.000   36.180    0.956    8.175
   20.970    8.970    0.000   95.870   34.250    0.547    9.067
   23.300    7.860    0.000  100.000   41.320    0.656   12.139
   23.470   10.820    0.000  100.000   40.160    0.766    9.054
   25.410   13.540    0.000   92.080   30.300    1.298   10.549
   23.480    9.410    0.000   93.970   27.860    0.588    8.999
   23.270    9.640    0.000  100.000   35.040    0.526    8.794
   22.200    9.440    0.000  100.000   45.390    0.417    8.568
   20.360    9.500    0.000  100.000   56.080    0.503    7.743
   23.080   11.000    0.000  100.000   55.450    0.417    6.150
   21.050    9.390    0.000  100.000   54.420    0.509    6.011
   22.300    9.210    0.000  100.000   48.570    0.515    7.073
   22.660    9.580    0.000  100.000   49.030    0.451    5.858
   23.620    9.190    0.000  100.000   47.810    0.503    6.122
   22.290    9.470    0.000  100.000   47.080    0.503    7.234
   17.250   13.390    0.000   98.900   73.630    0.811    1.270
   16.360   12.170    8.360  100.000   86.100    0.865    1.440
   15.230   10.320   33.980  100.000   85.820    1.512    0.993
   12.720   10.220   25.990  100.000   91.030    0.929    0.739
   18.250   14.310   22.200  100.000   84.440    2.993    2.670
   17.530   12.710    2.200  100.000   80.050    1.005    1.561
   17.350   11.310    9.410  100.000   69.230    0.660    5.548
   16.980   11.350    0.000   94.000   51.850    0.928    3.490
   15.040    8.940    0.000  100.000   60.940    0.618    2.677
   16.310   11.690   13.080  100.000   69.540    1.407    0.959
   12.650   11.400    8.880  100.000   88.980    1.038    0.784
   14.710   11.820    0.000  100.000   83.890    0.669    2.966
   14.660    7.900    0.000  100.000   75.130    0.614    4.512
   12.910    6.510    0.000  100.000   73.160    0.503    5.026
   13.540   10.610    2.730  100.000   83.770    0.979    1.681
   14.320    8.170    0.000   95.430   46.690    1.024    5.532
   14.200    5.470    0.000  100.000   39.090    0.797    5.282
   11.020    2.040    0.000  100.000   53.520    0.588    6.425
   10.910    2.010    0.000  100.000   52.760    0.646    4.497
   13.610    6.010    0.000  100.000   63.540    0.502    3.886
   12.100    6.700    0.000  100.000   68.630    0.516    2.895
   12.490    6.810    0.000  100.000   72.260    0.516    3.346
   11.600    4.830    0.000  100.000   71.860    0.417    3.409
   11.910    3.910    0.000  100.000   66.880    0.573    3.464
   10.810    3.390    0.000  100.000   66.030    0.694    4.382
   11.500    2.340    0.000  100.000   62.370    0.508    5.705
   10.930    1.170    0.000  100.000   68.930    0.254    6.899
    9.130    1.170    0.000  100.000   77.450    0.414    3.156
    8.440    2.480    0.000  100.000   82.060    0.577    1.698
    8.350    3.630    0.000  100.000   70.710    0.588    2.927
    6.290    1.090    0.000  100.000   74.690    0.536    3.172
    6.450    2.920    0.000  100.000   68.130    0.529    3.040
    6.240    1.230    0.000  100.000   81.560    0.499    2.831
    6.490   -0.640    0.000  100.000   86.140    0.363    2.976
    7.960    1.020    0.000  100.000   80.420    0.554    2.405
    8.900    1.360    0.000  100.000   79.330    0.332    1.263
    9.240    5.730    0.000  100.000   87.100    0.417    0.882
   10.590    3.770    0.000  100.000   68.940    0.639    5.474
   12.780    6.420    0.000  100.000   71.370    0.668    2.192
   16.190    3.910    0.000  100.000   40.380    1.024    2.836
    9.240    1.190    0.000  100.000   56.390    0.589    2.964
    8.620   -0.300    0.000  100.000   70.420    0.422    4.000
    8.440    1.290    0.000  100.000   83.390    0.582    1.260
    8.600    0.650    0.000  100.000   79.900    0.547    4.591
    7.770    0.150    0.000  100.000   82.370    0.588    4.949
    7.100    0.110    0.000  100.000   82.930    0.563    3.552
    8.320    0.180    0.000  100.000   67.890    0.503    2.342
   10.110    1.310    0.000  100.000   75.200    0.326    1.056
   11.340    6.090    0.000  100.000   86.710    0.404    1.093
   11.510    3.890    0.000  100.000   69.250    0.648    2.390
    7.770    1.760    0.000  100.000   76.970    0.588    2.525
    5.370    0.530    0.000  100.000   81.960    0.673    1.649
    4.900   -0.830    0.000  100.000   84.060    0.644    3.199
    4.470   -1.670    0.000   98.800   62.130    0.673    3.928
    5.700    0.090    0.000   94.000   48.130    0.790    5.090
    3.140   -0.070    3.490  100.000   92.170    0.609    0.339
    4.920   -0.670    0.000   85.420   31.740    2.296    5.353
    3.980   -3.120    0.000   65.910   15.010    1.242    5.067
    1.700   -4.670    0.000   79.340   25.500    0.443    5.314
    2.110   -4.280    0.000   88.350   37.990    0.503    3.837
    5.590   -3.480    0.000  100.000   80.620    0.503    4.265
    5.630   -0.150    0.000  100.000   86.990    0.787    1.130
    8.930    5.000   14.950  100.000   85.350    1.145    0.159
    8.360    0.540    0.000   89.530   19.400    2.031    4.820
    6.630    0.950    0.000  100.000   58.280    0.811    1.614
    8.680    2.050    0.000  100.000   66.340    0.758    1.061
    9.840    0.510    0.000  100.000   38.980    0.872    4.971
