Id stazione: 200, località: weather two
49.3  221.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   28.100   17.840    0.000   95.240   42.580    0.417    9.402
   28.820   18.690    0.000   93.020   39.230    0.423    9.574
   30.740   18.850    0.000   93.510   35.850    0.459   10.077
   29.800   19.550    0.000   91.120   36.880    0.461   12.875
   22.390   17.380    0.000   95.130   53.250    0.476    3.951
   23.620   16.330    0.000   97.300   52.380    0.252    6.720
   20.680   15.210   20.700   97.190   54.910    0.426    1.815
   15.320   15.260   27.300   98.040   95.150    0.578    0.895
   22.510   12.000    0.000   97.550   48.940    1.352   10.125
   22.580   15.470    0.000   87.900   40.980    1.915   10.477
   21.920   11.360    0.000   97.500   48.150    0.459    9.807
   21.460   10.240    0.000  100.000   58.600    0.205   10.543
   22.220   10.620    0.000  100.000   58.840    0.278    8.895
   22.190   11.020    0.000  100.000   57.900    0.275    8.894
   22.140   11.840    0.000  100.000   66.450    0.143    4.827
   23.060   12.270    0.000  100.000   57.680    0.363   11.922
   18.770   13.450    0.000  100.000   75.370    0.601    2.128
   15.940   14.970   30.760   97.500   88.060    0.686    1.132
   20.330   14.180   22.550  100.000   82.350    0.569    2.579
   21.440   13.170    0.000  100.000   70.080    0.201    7.075
   19.420   11.130    0.000  100.000   61.210    0.394    7.431
   19.790   10.130    0.000  100.000   62.110    0.250    7.240
   20.130    9.700    0.000  100.000   65.370    0.227    7.312
   19.780   10.930    0.000  100.000   67.500    0.253    4.970
   15.750   14.090   21.620  100.000   93.410    0.435    0.747
   21.730   14.120    0.000  100.000   76.970    0.153    3.949
   21.130   12.300    9.300  100.000   68.040    0.289    4.957
   17.390   16.090   35.910  100.000   94.740    0.450    1.264
   18.010   15.760    9.540  100.000   93.620    0.340    2.073
   18.460   16.360   10.220  100.000   93.590    0.861    0.939
   20.360   16.140    0.000  100.000   82.730    0.924    2.508
   18.880   16.340    5.250  100.000   93.450    0.500    1.319
   19.100   13.910    3.360  100.000   81.470    0.565    1.323
   17.170   10.650    0.000  100.000   59.890    0.413    6.241
   17.280    9.080    1.630  100.000   57.560    0.330    4.615
   17.150   12.050    3.250  100.000   81.930    0.238    2.298
   17.140   11.420    6.190  100.000   83.990    0.349    1.807
   16.630   16.270   11.430   98.000   95.890    1.502    0.905
   16.730   15.320   63.930  100.000   95.800    0.909    0.597
   20.130   12.230    1.920  100.000   78.120    0.430    3.446
   17.200    9.170    0.000  100.000   72.360    0.281    4.804
   16.340    6.080    0.000  100.000   56.170    0.388    5.825
   17.550   12.840   15.120  100.000   87.350    0.484    1.324
   21.610   10.940    0.000  100.000   58.700    0.509    4.602
   16.800    7.710    0.000  100.000   55.950    0.355    4.885
   10.710    6.510    1.320  100.000   68.010    0.383    2.176
   17.790    6.420    0.000  100.000   54.270    0.417    4.648
   22.340    9.640    0.000  100.000   47.590    0.519    8.104
   18.490   10.610    0.000  100.000   56.880    0.350    6.093
   12.330    9.760    1.400   97.800   67.130    0.440    1.311
   11.290    2.930    0.000   97.150   30.910    0.889    4.891
   11.190    2.240    0.000   97.900   36.590    0.621    5.209
    8.830    2.590    0.000   92.970   31.160    0.811    4.827
    7.940    3.480    0.000   82.810   25.680    1.081    5.043
    6.800   -1.550    0.000   97.300   39.000    0.465    5.080
    5.010   -3.100    0.000   97.800   52.160    0.275    4.764
    5.110   -4.660    0.000  100.000   64.470    0.169    4.416
    6.280   -2.850    0.000  100.000   62.380    0.202    2.470
    9.670    0.900    0.000  100.000   60.020    0.269    3.382
   15.800    4.960    0.000  100.000   64.230    0.229    3.042
   15.330    6.200    1.420  100.000   68.310    0.382    2.634
   13.000    7.610    0.000  100.000   78.410    0.410    2.912
   10.960    4.120    0.000  100.000   44.320    0.444    6.648
   10.010    3.640    0.000  100.000   52.330    0.347    3.624
   11.160    8.260    0.000  100.000   74.320    0.339    0.830
   10.510    3.480    0.000   97.200   25.750    1.260    4.787
    9.090    1.070    0.000   97.450   30.980    0.605    3.203
    4.600   -2.310    0.000   97.300   45.290    0.425    3.541
    2.710   -4.820    0.000  100.000   66.110    0.196    3.455
    2.810   -4.590    0.000  100.000   64.480    0.226    2.937
    4.120   -5.450    0.000  100.000   75.680    0.082    2.900
    4.360   -5.560    0.000  100.000   78.910    0.087    2.917
    5.590   -4.680    0.000  100.000   71.160    0.079    3.261
    6.150   -1.720    0.000  100.000   79.940    0.307    4.206
    7.550    0.240    0.000  100.000   77.100    0.164    3.298
    7.510   -1.270    0.000  100.000   59.910    0.312    2.989
    7.420   -2.350    0.000  100.000   69.900    0.226    2.473
    9.110   -1.530    0.000  100.000   62.290    0.219    2.561
   10.240   -0.970    0.000  100.000   65.840    0.135    2.335
    8.280    3.510    2.500  100.000   82.850    0.438    0.736
    8.230    0.660    0.000  100.000   71.470    0.302    2.479
    7.010   -1.400    0.000  100.000   57.200    0.346    3.146
    6.460   -1.610    0.000  100.000   59.020    0.318    3.304
    4.460   -2.740    0.000  100.000   79.870    0.242    1.358
    7.200    0.180    0.000  100.000   77.630    0.349    1.271
   20.980    2.950    0.000  100.000   38.500    0.515    3.347
   19.800    8.450    0.000  100.000   42.200    0.491    2.324
   14.920    2.290    0.000  100.000   47.440    0.298    4.660
   10.120   -0.030    0.000  100.000   67.590    0.086    5.195
    9.030    4.690    0.000  100.000   85.070    0.264    1.809
    9.330    6.550    0.000  100.000   92.250    0.339    0.737
    9.380    4.780    0.000  100.000   78.770    0.337    1.118
    8.030    4.580    3.700  100.000   91.090    0.379    0.708
    9.210    1.970    0.000  100.000   73.170    0.276    1.957
    7.040   -0.200    0.000  100.000   81.390    0.282    1.467
    7.340    5.210    3.910  100.000   93.930    0.425    0.878
    7.840    5.920   31.680  100.000   97.590    0.428    0.485
    8.680    3.540    0.000  100.000   78.740    0.150    1.861
    8.140   -0.410    0.000  100.000   69.940    0.331    3.465
    5.820   -2.050    0.000  100.000   58.120    0.380    5.096
    3.840   -3.410    0.000   98.000   49.690    0.377    5.180
    2.460   -3.190    0.000   97.900   64.190    0.403    2.998
