Id station: 100, location: West demo station
45.496782  120.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
    6.500   -2.300    0.100   99.000   63.200    0.740    5.554
    6.600   -3.000    0.100   99.000   59.200    0.591    7.348
    9.800   -4.400    0.200   98.000   36.200    0.561    7.906
    8.800   -2.400    0.000   89.000   48.200    0.748    7.336
    9.600   -3.500    0.200   96.800   41.000    0.509    7.786
   11.300   -2.500    0.000   92.700   35.300    0.553    7.709
   12.300   -1.400    0.000   91.200   36.500    0.449    7.535
   12.000   -1.300    0.000   96.000   44.300    0.681    7.295
   12.200   -1.300    0.000   91.000   28.600    1.227    7.381
   11.900    0.500    0.000   96.000   50.800    0.703    7.383
    9.700   -0.100    0.200   98.000   61.300    0.471    5.753
    8.400    1.300    0.600   98.000   66.700    0.755    4.654
    3.500   -1.000    0.200   99.000   89.300    0.875    3.108
    6.600    0.200    0.000   98.000   62.000    0.972    5.942
    6.900   -0.400    0.000   97.500   70.700    0.688    5.591
    1.800   -1.900    0.200   99.000   98.000    0.845    4.503
    5.600    0.700    0.000   99.000   76.600    0.995    4.693
    4.900    0.400    0.000   96.500   84.800    0.800    2.705
    6.000    0.400    0.000   99.000   76.700    0.860    4.096
   15.800   -1.500    0.000   99.000   12.800    1.533    9.547
   11.100   -1.300    0.000   84.800   40.500    0.681    8.954
   16.000    3.600    0.000   86.300   42.000    1.279    9.699
   12.200    1.900    0.000   92.800   25.700    1.608    8.197
   15.500    5.800    0.000   42.500   15.000    2.236   10.191
   18.800    4.000    0.000   63.300   23.700    2.498   10.195
   12.500    3.100    0.000   81.700   50.700    1.144    8.226
   11.900    4.500    0.000   98.800   67.500    0.711    5.431
    9.300    3.200    0.000   99.000   78.800    0.561    4.995
    9.300    0.700    0.200   99.000   74.500    0.613    4.608
   13.400    1.500    0.000   99.000   11.300    3.822   11.348
   15.100   -1.400    0.000   62.800   13.700    0.673   11.020
   16.000    1.700    0.000   92.700   48.700    0.920   10.646
   12.600    4.800    0.000   98.800   67.800    0.456    2.774
   15.100    7.100    0.000   83.800   14.200    1.189    7.360
   11.700    2.900    0.000   83.300   29.000    1.017   11.505
   10.900   -1.100    0.000   83.000   38.200    0.733   11.433
    6.200    0.400    3.500   96.300   57.700    0.853    2.556
    5.500    0.800   12.200   99.000   85.500    0.823    2.545
   11.300    0.100    0.000   99.000   60.700    0.785   10.196
   16.700   -0.600    0.200   99.000   54.800    0.898   12.749
   11.300    3.200    0.000   99.000   66.000    0.987    8.456
   15.000    8.200    1.800   99.000   66.700    0.785    7.121
   16.300    6.700    0.000   99.000   46.800    0.845   11.530
   16.700    6.300    0.000   97.700   15.200    2.618   13.572
   18.700    7.500    0.000   48.800   13.500    2.356   14.520
   16.300    3.400    0.000   71.000   30.700    0.823   14.243
   14.700    4.700    0.000   79.500   42.200    0.763   10.450
   17.400    2.800    0.000   92.200   12.700    2.199   13.656
   15.600    1.200    0.000   99.000   12.800    1.406   15.538
   12.400    0.800    0.000   79.700   25.600    0.942   15.107
   13.100   -1.200    0.000   80.800   24.700    1.182   15.039
   11.000    0.600    0.000   67.700   27.700    1.294   15.230
   13.300   -1.500    0.000   81.800   26.500    0.853   14.426
   14.600    3.000    0.000   83.300   37.800    0.830   14.890
   12.700    3.900    0.000   87.500   45.700    1.249   13.303
   10.000    2.800    0.000   70.200   38.300    1.272   15.333
    9.800    0.700    0.000   73.200   31.500    0.815   12.930
   11.200   -0.400    0.000   75.500   35.500    0.778   15.632
    8.500   -0.100    0.000   69.200   35.000    1.107    7.900
   13.500   -2.500    0.000   89.200   27.200    0.658   16.587
   15.400    0.300    0.000   78.000   35.500    0.696   16.041
   11.500    5.600    0.000   72.200   46.000    1.631   11.112
   10.900    2.500    0.000   67.500   40.000    1.204   11.777
   11.300   -0.400    0.000   68.500   31.800    0.815   15.380
   14.200    6.200    0.000   66.200   38.000    0.785   10.754
   14.000    7.100    0.000   77.500   47.800    0.711    6.774
   17.200   10.500    0.000   83.200   49.500    1.219   10.471
   14.000    9.800    0.000   77.500   60.700    0.995    5.099
   15.500    8.400    0.000   85.500   39.700    1.212    8.458
   14.200    4.300    0.000   68.200   35.200    1.301   17.160
   14.300    2.100    0.000   65.200   29.300    1.197   18.207
   14.400    3.600    0.000   63.500   27.300    0.793   17.449
