Id station: 137, location: East demo station
45.444092  102.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   11.100   -0.400    0.000   99.000   71.500    1.085    7.939
    4.300   -1.700    0.000   99.000   91.800    1.047    3.043
    8.200   -1.400    0.000   99.500   67.700    1.092    7.659
    4.700   -2.900    0.000   99.000   97.200    1.032    6.865
    7.600   -4.200    0.000   99.200   68.700    1.099    8.208
    2.300   -0.200   14.000   99.000   99.000    1.473    1.568
    2.800    0.200    0.000   99.800   99.000    1.055    4.465
    3.100   -1.500    0.600  100.000   99.000    1.159    2.383
    6.500   -2.800    0.000  100.000   91.500    1.070    8.663
    8.100   -4.600    0.000   99.300   81.800    1.070    8.644
   11.300   -2.200    0.000   99.700   61.000    0.905    7.385
    9.400   -2.800    0.000   99.700   87.300    0.965    7.158
    9.600   -2.100    0.000   99.700   88.000    0.898    5.114
    5.500   -3.200    0.000   99.500   99.000    0.860    4.734
    4.000   -1.800    0.000   99.000   99.000    1.354    4.574
    2.400   -1.200    0.000   99.200   99.000    0.920    3.668
    2.900   -1.000    0.000  100.000   99.000    1.301    4.213
    9.900   -1.200    0.000  100.000   93.300    1.862    6.806
    6.700    1.000    0.000   99.700   99.000    0.927    3.258
    8.200   -2.500    0.000  100.000   86.500    0.890    5.727
    3.900    1.200    0.000  100.000   99.000    1.219    3.459
    4.800    3.700    0.000   99.200   99.000    0.770    1.682
    5.900    3.600    4.400   99.000   98.700    0.815    2.016
    5.800    0.800    0.000   99.800   99.000    0.815    3.727
    6.500    1.900    1.800   99.000   99.000    0.726    2.138
    8.400    1.300    0.000   99.000   99.000    1.040    2.961
    5.600    2.700    0.000  100.000   99.000    1.122    4.361
    5.600    3.500    0.000  100.000   99.000    0.890    3.287
    5.100    1.100    0.000  100.000   99.000    0.883    4.320
    5.500   -0.700    0.000  100.000   99.000    0.673    4.646
    9.700   -1.300    0.000  100.000   99.000    0.823    4.486
    5.500    1.400    0.000  100.000   99.300    1.159    2.001
    7.300    5.600    3.800  100.000  100.000    0.696    0.732
    7.700    4.800   13.200  100.000  100.000    1.062    1.061
    8.400   -0.800    0.000  100.000   87.200    1.204    5.630
    7.200   -3.100    0.000  100.000   59.500    1.309    6.122
    3.900   -3.300    0.000  100.000   95.000    1.189    5.269
    5.800   -3.200    0.000  100.000   88.300    1.144    4.725
    1.900   -4.400    0.000  100.000   99.000    1.159    4.992
    8.400   -5.300    0.000  100.000   75.000    0.987    7.886
    8.200   -4.800    0.000   99.000   63.200    1.152    7.720
    8.800   -6.000    0.000   99.300   57.300    0.905    8.013
   10.300   -4.000    0.000   99.300   48.000    1.174    7.838
   12.300   -3.800    0.000   99.000   44.300    0.972    7.688
   11.700   -2.800    0.000   99.000   60.200    1.264    7.462
   12.400   -2.100    0.000   99.000   48.000    1.473    8.197
   11.700   -2.400    0.000   99.000   68.500    0.987    7.211
    9.100   -2.700    0.000   99.000   83.300    0.905    5.761
    6.800   -1.500    0.400   99.000   96.800    0.995    4.335
    4.400   -3.400    0.000   99.300   99.000    1.062    4.664
    6.400   -2.600    0.000  100.000   85.000    1.466    5.324
    7.300   -3.500    0.000   99.000   86.300    1.122    6.164
    2.000   -5.100    0.000   99.000   99.000    1.017    4.252
    3.800   -1.700    0.000  100.000   99.000    1.503    4.437
    4.300   -1.900    0.000  100.000   99.000    1.017    2.557
    2.900    0.800    0.000  100.000   99.000    1.040    3.350
    9.600   -2.300    0.000  100.000   79.000    2.005    8.733
   11.000   -5.000    0.000   99.700   38.500    0.913    8.401
   16.100   -1.900    0.000   99.000   54.000    2.371    9.595
   11.600   -1.700    0.000   99.000   30.800    2.393    7.874
   16.300    4.700    0.000   49.200   14.800    3.657   10.108
   19.300    2.100    0.000   72.000   24.800    3.269   10.135
   13.100   -0.800    0.000   98.200   57.700    1.653    8.509
   11.600    2.700    0.000   99.000   85.000    1.017    4.927
    7.900   -1.100    0.000  100.000   99.000    0.890    5.433
    8.000   -2.000    0.000  100.000   99.000    1.107    4.013
   14.300    1.800    0.000  100.000   13.300    3.979   11.265
   14.600   -4.700    0.000   80.200   17.500    1.047   11.166
   15.600   -2.400    0.000   96.500   51.800    1.421   10.800
   12.600    2.800    0.000   99.000   76.200    0.830    5.292
   14.500    2.800    0.000   99.000   37.700    1.526    6.200
   12.100   -0.700    0.000   99.000   28.000    1.511   11.607
   10.900   -3.800    0.000   90.500   37.700    1.286   11.589
    6.600   -2.400    0.000   99.000   65.800    1.242    2.709
    4.700   -1.300   13.200   99.000   99.000    1.414    2.334
   10.600   -2.200    0.000   99.700   84.700    1.182    8.670
   16.700    0.100    0.000   99.700   66.200    1.309   11.575
   11.800   -0.600    0.000   99.200   79.200    1.242    6.950
   13.300    7.300    1.200   99.000   88.200    1.167    5.779
   15.700    4.500    0.000   99.000   71.000    1.182    9.804
   16.800    3.700    0.000   99.000   20.800    2.932   11.742
   19.300    2.700    0.000   74.700   15.800    3.538   14.192
   17.100   -0.400    0.000   90.500   31.200    1.249   14.052
   15.000    0.600    0.000   94.200   43.500    1.032   10.144
   17.000   -0.200    0.000   99.000   15.700    2.034   13.458
   14.600   -1.300    0.000   99.000   19.700    1.952   15.231
   13.100   -2.800    0.000   95.200   24.500    1.369   14.919
   13.500   -4.000    0.000   90.800   25.000    1.818   15.150
   11.600   -1.900    0.000   78.300   26.700    1.870   14.911
   13.400   -4.500    0.000   94.800   25.800    1.174   14.085
   15.000   -0.600    0.000   91.800   39.200    0.920   14.817
   13.500    0.400    0.000   92.300   38.300    1.937   13.203
   10.500   -0.400    0.000   88.200   35.000    1.675   14.215
   11.100   -2.400    0.000   88.700   29.300    1.219   14.086
   11.600   -4.500    0.000   89.800   33.700    1.257   15.761
    9.600   -2.900    0.000   88.800   32.300    1.735    9.791
   13.700   -5.700    0.000   95.000   28.300    1.137   16.890
   16.400   -2.900    0.000   90.500   32.500    1.099   16.443
   12.400    0.800    0.000   84.500   42.200    2.805   11.501
   11.400    0.000    0.000   76.800   35.500    2.102   11.983
   12.400   -3.200    0.000   82.200   32.200    1.376   16.330
   14.600    4.900    0.000   81.000   38.700    1.137    9.844
   15.300    5.000    0.000   87.800   45.000    0.972    9.224
   17.300    8.800    0.000   86.500   51.500    2.012   10.524
   14.400    6.700    0.000   89.700   58.200    1.391    5.347
   16.200    4.000    0.000   92.300   37.500    1.818    9.789
   15.000    0.200    0.000   86.700   32.500    1.847   17.288
   15.400   -1.100    0.000   83.800   27.000    1.653   18.283
   15.800    0.900    0.000   77.200   25.700    1.085   17.676
   16.300   -1.600    0.000   85.800   20.700    1.354   19.375
   20.900   -1.200    0.000   84.200   14.500    1.234   19.927
   23.000   -0.100    0.000   83.800   13.400    1.197   20.273
   22.700    0.900    0.000   74.000   14.300    1.189   19.889
   22.400    1.100    0.000   79.500   18.300    1.249   19.797
   23.000    2.300    0.000   79.200   17.500    1.189   17.153
   23.600    2.200    0.000   75.500   13.200    1.219   19.913
   19.800    3.700    0.000   85.000   33.500    1.346   16.293
   14.600    7.600    0.000   96.700   69.700    1.631    5.321
   17.900    9.400    0.000   99.000   55.500    0.913   10.722
   15.200    5.600    1.600   99.000   62.500    1.309   12.449
   10.800    2.900    0.000   95.800   56.700    2.147   10.979
   12.700    1.600    0.000   97.300   50.300    1.728   13.740
   15.200    2.600    0.000   93.300   36.000    1.257   14.673
   19.600    0.500    2.800   97.300   28.800    1.144   22.296
   18.500    2.700    0.000   96.800   42.200    1.249   18.968
   22.400    6.300    0.000   83.500   33.200    2.117   20.676
   23.400    5.300    0.000   95.300   39.800    1.159   21.016
   20.800    6.500    0.000   91.700   13.000    4.136   23.816
   18.300    1.100    0.000   94.700   20.200    1.818   24.240
   20.200    2.600    0.000   76.700   20.000    1.354   23.287
   21.200    2.400    0.000   77.000   24.300    1.025   21.847
   21.600    5.600    0.000   87.700   33.000    1.526   20.853
